open_time,close_time,O,H,L,C,V_Q,V_C
2019-07-05 20:00:00,2019-07-05 20:14:59.999,0.0041,0.0042,0.0039608,0.0039608,4882.9386448,1192136.0
2019-07-05 20:15:00,2019-07-05 20:29:59.999,0.0039607,0.0039608,0.0034008,0.0034008,437.7571084,117418.0
2019-07-05 20:30:00,2019-07-05 20:44:59.999,0.0041231,0.0041231,0.0035395,0.0035395,310.7807876,77158.0
2019-07-05 20:45:00,2019-07-05 20:59:59.999,0.0036035,0.0036035,0.0036035,0.0036035,208.534545,57870.0
2019-07-05 21:00:00,2019-07-05 21:14:59.999,0.004,0.004,0.0036051,0.0036051,1035.6722558,261569.0
2019-07-05 21:15:00,2019-07-05 21:29:59.999,0.0036051,0.0036051,0.0036051,0.0036051,0.0,0.0
2019-07-05 21:30:00,2019-07-05 21:44:59.999,0.0037011,0.0039995,0.0037011,0.0039995,233.3230445,58843.0
2019-07-05 21:45:00,2019-07-05 21:59:59.999,0.0039994,0.0039995,0.0039994,0.0039995,180.9395701,45241.0
2019-07-05 22:00:00,2019-07-05 22:14:59.999,0.0039994,0.0039994,0.0039994,0.0039994,20.5649148,5142.0
2019-07-05 22:15:00,2019-07-05 22:29:59.999,0.0039993,0.0039993,0.0037015,0.0037022,313.5301469,83887.0
2019-07-05 22:30:00,2019-07-05 22:44:59.999,0.0039993,0.0039993,0.0037734,0.0037734,164.1211434,42147.0
2019-07-05 22:45:00,2019-07-05 22:59:59.999,0.0037734,0.0037734,0.0037734,0.0037734,0.0,0.0
2019-07-05 23:00:00,2019-07-05 23:14:59.999,0.0038312,0.0038312,0.0038298,0.0038298,293.7548392,76701.0
2019-07-05 23:15:00,2019-07-05 23:29:59.999,0.0038264,0.0038264,0.003773,0.003773,258.1150486,68225.0
2019-07-05 23:30:00,2019-07-05 23:44:59.999,0.003773,0.003773,0.0037023,0.0037023,584.9515616,157330.0
2019-07-05 23:45:00,2019-07-05 23:59:59.999,0.0037023,0.0037023,0.0037023,0.0037023,0.0,0.0
2019-07-06 00:00:00,2019-07-06 00:14:59.999,0.0037023,0.0037023,0.0037012,0.0037012,4193.9300565,1132817.0
2019-07-06 00:15:00,2019-07-06 00:29:59.999,0.0037012,0.0037012,0.0037012,0.0037012,0.0,0.0
2019-07-06 00:30:00,2019-07-06 00:44:59.999,0.0037012,0.0037012,0.0037012,0.0037012,0.0,0.0
2019-07-06 00:45:00,2019-07-06 00:59:59.999,0.0036828,0.0038985,0.0036326,0.0036326,1001.8955012,271340.0
2019-07-06 01:00:00,2019-07-06 01:14:59.999,0.00366,0.00366,0.00366,0.00366,36.6,10000.0
2019-07-06 01:15:00,2019-07-06 01:29:59.999,0.0036056,0.0036116,0.0036032,0.0036116,138.3241387,38363.0
2019-07-06 01:30:00,2019-07-06 01:44:59.999,0.0036116,0.0036679,0.0036116,0.0036679,1123.839958,311080.0
2019-07-06 01:45:00,2019-07-06 01:59:59.999,0.00362,0.00362,0.00361,0.00361,510.99769,141168.0
2019-07-06 02:00:00,2019-07-06 02:14:59.999,0.00361,0.00361,0.00361,0.00361,2076.41785,575185.0
2019-07-06 02:15:00,2019-07-06 02:29:59.999,0.0035512,0.00363,0.0035512,0.0035968,900.3982064,252653.0
2019-07-06 02:30:00,2019-07-06 02:44:59.999,0.00364,0.0037,0.00364,0.00364,4746.551109,1303515.0
2019-07-06 02:45:00,2019-07-06 02:59:59.999,0.0036002,0.0036002,0.0036002,0.0036002,16.7157286,4643.0
2019-07-06 03:00:00,2019-07-06 03:14:59.999,0.0036509,0.0036509,0.0036509,0.0036509,27.9074796,7644.0
2019-07-06 03:15:00,2019-07-06 03:29:59.999,0.003644,0.0036631,0.003644,0.0036618,3958.2735842,1082474.0
2019-07-06 03:30:00,2019-07-06 03:44:59.999,0.0036618,0.0036618,0.0036618,0.0036618,0.0,0.0
2019-07-06 03:45:00,2019-07-06 03:59:59.999,0.0037697,0.003899,0.0036659,0.0037,1899.683912,505308.0
2019-07-06 04:00:00,2019-07-06 04:14:59.999,0.0037,0.0037,0.0037,0.0037,2605.5992,704216.0
